College Code,College Name,Branch Code,Branch Name,Category,Cutoff Rank,Location
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV),AI,"Artificial
Intelligence (Computer Science)",1G,9551,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",2AG,7993,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",2AR,8818,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",2BG,8515,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",3AG,4853,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",3BG,5660,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",GM,4644,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",GMK,8135,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",GMR,6644,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",SCG,22838,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",SCK,35775,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",SCR,37041,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",STG,24785,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AI,"Artificial
Intelligence (Computer Science)",STR,30896,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AR,Architecture,1G,265,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AR,Architecture,2AG,443,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AR,Architecture,2BG,203,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AR,Architecture,3AG,242,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AR,Architecture,3BG,295,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AR,Architecture,GM,198,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AR,Architecture,GMR,488,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),AR,Architecture,SCG,499,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,1G,69263,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,2AG,69941,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,2AK,81714,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,2AR,78519,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,2BG,86550,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,2BR,100108,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,3AG,65915,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,3AR,78376,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,3BG,68579,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,3BR,69405,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,GM,49408,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,GMK,57853,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,GMR,66814,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,SCG,94329,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,SCK,106707,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,SCR,106094,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,STG,80230,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,STK,124574,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CE,Civil,STR,123121,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),1G,7386,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),1R,8208,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),2AG,6524,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),2AK,7849,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),2AR,7538,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),2BG,7208,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),2BR,11686,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),3AG,3728,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),3AR,5378,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),3BG,4177,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),3BK,7918,Bangalore
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV ),CS,Computers (Computer Science),3BR,5387,Bangalore
